gene-cCRE pairs	PCC	p-value	FDR
Tmc3|cCREs218612	0.465234042422696	0.00716733584552032	0.0436105073418828
Tmcc3|cCREs30556	0.588936334901196	0.000993566411751745	0.01425766452009
Tmcc3|cCREs30557	0.677190055502459	0.000191767380859464	0.00623886370503555
Tmcc3|cCREs30565	0.565563282714258	0.00148617037303367	0.0177504764487738
Tmcc3|cCREs30576	0.5500362215432	0.00192727038783458	0.020547876500167
Tmcc3|cCREs30577	0.660059183659129	0.000268025875354128	0.00723372462515683
Tmcc3|cCREs30612	0.487398474110535	0.00517301969162942	0.0358835520776977
Tmco1|cCREs16741	0.544084710834438	0.00212574695536349	0.0216589580399505
Tmed10|cCREs57173	0.535273465401335	0.00245374026953793	0.0235658053762219
Tmed10|cCREs57193	0.519996675795146	0.00313240623734179	0.0269934456301567
Tmem101|cCREs46120	0.528742036504339	0.00272570109069781	0.0249848437958584
Tmem101|cCREs46121	0.51457777941619	0.00341105450427204	0.0283652276859913
Tmem101|cCREs46122	0.544646013919032	0.00210626600620811	0.0215399118990141
Tmem104|cCREs47923	0.541955075708805	0.00220115452333092	0.0220746143667101
Tmem107|cCREs42088	0.498165101118666	0.00439594696431866	0.0326906571307565
Tmem114|cCREs96585	0.612901139530585	0.000648164746218427	0.0113098208912062
Tmem114|cCREs96586	0.459821321604174	0.00774716713713397	0.0455348319286173
Tmem114|cCREs96605	0.494974828918421	0.00461454723901345	0.0335557837271739
Tmem132a|cCREs125123	0.621294870283673	0.000556182975572472	0.0104540374397521
Tmem132a|cCREs125132	0.472446805217648	0.00645432548989466	0.0408838112083066
Tmem132c|cCREs194350	0.672244789958771	0.000211389143656371	0.00649785319161316
Tmem132c|cCREs194352	0.603316098475955	0.000770263885190636	0.012495155493005
Tmem132c|cCREs194364	0.507458704922866	0.00381091594399652	0.0302010374203269
Tmem132c|cCREs194368	0.481777303208987	0.00562544762418848	0.0376533095726932
Tmem132c|cCREs194376	0.463479032973886	0.00735100023307334	0.0442542104246678
Tmem132c|cCREs194386	0.605235137434341	0.000744241063292295	0.0122171567386295
Tmem132c|cCREs194387	0.53395670490607	0.00250650713630962	0.0238902450245446
Tmem132c|cCREs194389	0.543330924112676	0.00215216543621866	0.0217960545756734
Tmem132c|cCREs194397	0.513931045397155	0.00344575666025637	0.0285486259995626
Tmem132c|cCREs194404	0.48214956676531	0.00559443337754939	0.0375312767754332
Tmem132e|cCREs43754	0.660669144020011	0.00026488378013878	0.0072181458176816
Tmem132e|cCREs43759	0.613745526901314	0.000638313436322702	0.0112264570459538
Tmem132e|cCREs43761	0.798021694888908	1.46001926537576e-05	0.00282718935321645
Tmem132e|cCREs43763	0.598286833647294	0.000842489290666326	0.0131711424832553
Tmem132e|cCREs43768	0.708504031777151	0.000101993285110846	0.00476089999326315
Tmem143|cCREs215240	0.580770764807082	0.00114543009258772	0.0154747254149677
Tmem143|cCREs215246	0.560100832099844	0.00162958636653499	0.0186822709452799
Tmem143|cCREs215286	0.554837441751055	0.00177959254076254	0.019683072843544
Tmem159|cCREs222026	0.644576562718457	0.000360407751662795	0.00836535357186226
Tmem159|cCREs222039	0.657102551054455	0.000283754585115537	0.00746105153131404
Tmem159|cCREs222041	0.581192778389741	0.00113708774625709	0.0153947814385784
Tmem159|cCREs222049	0.604186395425025	0.000758360227256727	0.0123661092109424
Tmem161b|cCREs69366	0.457370903744109	0.00802297103530547	0.0465330311812156
Tmem171|cCREs70876	0.65633807007271	0.00028795909915047	0.00752294925813222
Tmem186|cCREs96612	0.492766706792399	0.00477147926866406	0.0342958589457588
Tmem186|cCREs96614	0.486695084220156	0.00522780192020389	0.0361311049149596
Tmem191c|cCREs97537	0.546355075501299	0.00204794329020219	0.0212234438878691
Tmem191c|cCREs97539	0.472869276493833	0.0064145790074025	0.0407570227362623
Tmem191c|cCREs97545	0.499639051854446	0.00429811219922427	0.0322807343812991
Tmem198|cCREs7212	0.517510849969169	0.00325758265182841	0.0275625318188737
Tmem198|cCREs7276	0.585708095091535	0.00105124859356176	0.0147216585634162
Tmem198|cCREs7291	0.461405404702235	0.00757334483409444	0.0449325154722413
Tmem200a|cCREs23138	0.475338947813395	0.00618653491538912	0.039912665626615
Tmem200a|cCREs23143	0.540905374206003	0.0022392079905843	0.0223249163384967
Tmem200b|cCREs178837	0.503349191312373	0.00406041045139971	0.0312686511389955
Tmem200c|cCREs111595	0.498673521848953	0.00436197756635104	0.0325706239558094
Tmem200c|cCREs111598	0.696919184901648	0.000129206841897989	0.00521673857994698
Tmem200c|cCREs111600	0.665028174485022	0.000243408708241466	0.00694193720694208
Tmem200c|cCREs111617	0.738468163399977	5.4446071353853e-05	0.00389835076416131
Tmem208|cCREs234992	0.494357205662907	0.00465797120812261	0.0337544552823241
Tmem220|cCREs41738	0.449488683829437	0.00896954390201077	0.0497063400194161
Tmem220|cCREs41785	0.466750565701562	0.00701190184171041	0.0429964061070005
Tmem229a|cCREs199131	0.482759808716599	0.00554392095615308	0.0373843462680087
Tmem229a|cCREs199137	0.554866397342738	0.00177873403045781	0.0196827999734771
Tmem240|cCREs181676	0.573983784245506	0.00128752709055358	0.0164802843940051
Tmem240|cCREs181736	0.508919628226321	0.00372558853446958	0.029786611631954
Tmem37|cCREs11272	0.598911456574523	0.000833192030376573	0.0130759080270312
Tmem37|cCREs11276	0.652680170100281	0.000308891773415754	0.00779331259286008
Tmem37|cCREs11284	0.660209176218832	0.000267250013197273	0.0072181458176816
Tmem37|cCREs11294	0.540512344789052	0.00225360866780966	0.0224130699859402
Tmem37|cCREs11297	0.506968883390477	0.00383991440672926	0.0303207928904503
Tmem37|cCREs11317	0.640980162932579	0.000385736756045252	0.00862011555760998
Tmem44|cCREs99093	0.521524838065611	0.00305761986322872	0.0266663807576735
Tmem44|cCREs99096	0.521741887337896	0.00304712918033356	0.0266012263478377
Tmem44|cCREs99166	0.4926586636526	0.00477927863630301	0.0343052635077075
Tmem62|cCREs143036	0.492421828935132	0.00479641493332383	0.034358168347144
Tmem65|cCREs90188	0.529298859954491	0.00270149699488076	0.024856688314144
Tmem65|cCREs90195	0.492884081842916	0.00476301911772015	0.0342490235905616
Tmem65|cCREs90202	0.490060647668324	0.00497027835663766	0.0350941576091046
Tmem65|cCREs90203	0.626494632358103	0.000505420872586759	0.00993749945575998
Tmem65|cCREs90208	0.587103033961665	0.00102595702405606	0.014508319049918
Tmem65|cCREs90210	0.639628060600306	0.000395679673293348	0.00875259370393666
Tmem65|cCREs90213	0.553502847919977	0.00181957364956964	0.0198818261830505
Tmem65|cCREs90218	0.588531495719988	0.00100063724701127	0.0143086253089266
Tmem65|cCREs90241	0.47786611035918	0.00596064471546509	0.0389980235029767
Tmem65|cCREs90247	0.522978964948111	0.00298795384836048	0.0263369494395763
Tmem65|cCREs90248	0.572029047184121	0.00133134479100172	0.0167530722736267
Tmem65|cCREs90249	0.514930991992589	0.00339223487237084	0.0282602467275648
Tmem65|cCREs90258	0.480571360677525	0.00572696887700996	0.0380103016600344
Tmem65|cCREs90282	0.516335284898546	0.00331833187734498	0.0278907694099173
Tmem65|cCREs90284	0.517394207868215	0.00326356529888261	0.0275953360559138
Tmem65|cCREs90285	0.638870825135388	0.000401351528950933	0.00880294300396507
Tmem65|cCREs90297	0.452799182248905	0.0085606817838787	0.0483531679982658
Tmem65|cCREs90301	0.610160206193735	0.000681117920889651	0.0116489318635494
Tmem65|cCREs90308	0.528076697576874	0.00275487875276215	0.0251291516292712
Tmem65|cCREs90327	0.58251762348371	0.00111125860414585	0.0152311017862324
Tmem65|cCREs90330	0.590854899484252	0.000960676682096873	0.0140527880779136
Tmem67|cCREs167172	0.563586027877784	0.00153669695803316	0.0180640504735343
Tmem74b|cCREs146773	0.520297030621302	0.0031175785167249	0.0269509929622376
Tmem79|cCREs158293	0.508554733122841	0.00374673869397268	0.0298935780464666
Tmem79|cCREs158313	0.514819460696457	0.00339816730179587	0.0282862820788867
Tmem79|cCREs158324	0.533500873251897	0.00252501149234508	0.0240016874787643
Tmem80|cCREs224468	0.451248019865171	0.00875017634229114	0.0489837485294385
Tmem95|cCREs42183	0.803432201331314	1.28960294107916e-05	0.00269274269858965
Tmpo|cCREs30121	0.462743326855685	0.00742921884647851	0.0444633316972675
Tmsb10|cCREs204202	0.45942856417491	0.00779080406107746	0.0457298739928926
Tmsb10|cCREs204204	0.573297617294208	0.00130275583115924	0.0166028329955624
Tmsb10|cCREs204210	0.522172801264037	0.00302639775831837	0.0265175376644493
Tmsb15l|cCREs255997	0.637569941610001	0.000411271896174625	0.00892231364051214
Tmtc1|cCREs212964	0.591143297553766	0.000955820060993928	0.0140400350315703
Tmtc4|cCREs84948	0.475012112702208	0.00621629597390538	0.0399948594313904
Tmtc4|cCREs84964	0.450866154810535	0.00879738642657901	0.0491386448481807
Tmtc4|cCREs84972	0.694867796890011	0.000134684619560121	0.00532800660806286
Tmtc4|cCREs84989	0.509830879972331	0.00367323714052192	0.029585049600438
Tnc|cCREs171962	0.499526960032122	0.00430548342134418	0.0323131360837065
Tnc|cCREs171984	0.462553193835509	0.00744955223648314	0.0445159745106397
Tnfaip8l3|cCREs243435	0.46819569757571	0.00686656120794094	0.042400353592813
Tnfaip8l3|cCREs243468	0.738982437364474	5.38518182040537e-05	0.0038828409875886
Tnip2|cCREs184803	0.473009536901707	0.00640143115265912	0.0407101316833039
Tnip2|cCREs184804	0.482306094244403	0.00558143808115619	0.037477396014126
Tnk2|cCREs99414	0.45155521434465	0.00871235916119084	0.0488392972028105
Tnpo2|cCREs232824	0.573724715374769	0.00129325761536214	0.0165176312782756
Tnrc18|cCREs196239	0.499385500677203	0.00431480199741752	0.0323561315393916
